lang,model,I_full,I_full_lo,I_full_hi
de_gsd,bert-base-multilingual-cased,0.083333,0.058333,0.106667
de_gsd,xlm-roberta-base,0.131579,0.096053,0.169737
en_ewt,bert-base-multilingual-cased,0.082759,0.050862,0.113793
en_ewt,xlm-roberta-base,0.081579,0.040757,0.121086
es_ancora,bert-base-multilingual-cased,0.083612,0.055184,0.114548
es_ancora,xlm-roberta-base,0.136842,0.096053,0.176316
ru_syntagrus,bert-base-multilingual-cased,0.180602,0.148829,0.211538
ru_syntagrus,xlm-roberta-base,0.092105,0.055263,0.128947
tr_imst,bert-base-multilingual-cased,0.005348,-0.009358,0.02139
tr_imst,xlm-roberta-base,0.015789,-0.001316,0.032895
zh_gsd,bert-base-multilingual-cased,-0.003333,-0.045833,0.035854
zh_gsd,xlm-roberta-base,0.002632,-0.015789,0.022368
